task,answer
"Длины базисных векторов $ \textbf{e}_1, ~ \textbf{e}_2, ~ \textbf{e}_3 $ в пространстве равны соответственно 1,1, $\sqrt{2}$, а углы между ними равны $ \angle(\textbf{e}_1, \textbf{e}_2) = 120^{\circ},~ \angle(\textbf{e}_1, \textbf{e}_3) = 45^{\circ},~\angle(\textbf{e}_2, \textbf{e}_3) = 135^{\circ}. $ Вычислить объем параллелепипеда, построенного на векторах, имеющих в этом базисе координаты $(-1,0,2),~ (1,1,3),~(2,-1,1).$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[7.071]
Найти $ \displaystyle \lim_{x \rightarrow 0} (\operatorname{tg}x - x)/(\sin x-x).$ Ответ сократи (используя правила математического округления) до трех знаков после точки,[-2.000]
В арифметическом пространстве со стандартным скалярным произведением найти скалярное произведение $ \begin{pmatrix} 1 & 1 & 1&1 \end{pmatrix}^{T} $ и $ \begin{pmatrix} 1 & 2 & 5 & 8 \end{pmatrix}^{T}.$,[16]
"Каждый из трех котов спит в одной из трех коробок. Найти вероятность того, что все коты будут спать в одной коробке, если они выбирают каждую коробку равновероятно и независимо друг от друга. Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.111]
"На шахматную доску наугад ставятся два короля – черный и белый, в разные клетки. Какова вероятность, что при этом получится допустимая позиция? Недопустимой считается позиция, когда короли стоят в соседних (в том числе и по диагонали) клетках. Ответ представь в виде несокращаемой простой дроби",[43/48]
"Вероятности правильного определения химического состава продукта для каждого из 3 контролеров равны 4/5, 3/4, 2/3. При одновременном контроле 3 проб тремя контролерами химический состав оказался правильно определенным для 2 проб (что подтвердилось на окончательной проверке в лаборатории). Найти вероятность того, что ошибся третий контролер. Ответ сократи (используя правила математического округления) до двух знаков после точки",[0.46]
Найти $ \displaystyle \lim_{x \rightarrow +\infty} x^{7/4}(\sqrt[4]{x+1}+\sqrt[4]{x-1}-2\sqrt[4]{x}).$ Ответ представь в виде несокращаемой простой дроби,[-3/16]
"Рассмотрим область $A$, ограниченную на отрезке $x \in [0; 1]$ кривыми \begin{align*} y = \sqrt{x}, \ \ y = x. \end{align*} Найди объем тела, полученного вращением области $A$ вокруг оси $OX$. Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.524]
Найти $ \displaystyle \lim_{x \rightarrow 2} (8-2x^2)/(x^2+4x-12).$Ответ сократи (используя правила математического округления) до трех знаков после точки,[-1.000]
Найти $ \displaystyle \lim_{x \rightarrow 0} (\ln(1+\sin(2x))/\sin(3x).$. Ответ представь в виде несокращаемой простой дроби,[2/3]
Найти расстояние между параллельными плоскостями $ 3x+ 4z +1=0 $ и $ 6x+8z - 1=0.$ Ответ представь в виде несокращаемой простой дроби,[3/10]
"Найти объем тела, ограниченного поверхностями, полученными при вращении отрезков следующих линий: $ y =e^{-x},~y=0~ (0\leq x < +\infty) $ вокруг оси $ Ox.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[1.571]
"Найти площадь фигуры, ограниченной кривыми, заданными в прямоугольных координатах (все параметры считать положительными): $ y = 2^x,~ y=2~, x=0.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.557]
"Радиосообщение может быть передано днем (с вероятностью 3/4 ),либо ночью (с вероятностью 1/ 4 ). Из-за помех вероятность его успешного приема составляет днем 60$\%$, а ночью 80$\%$. Найти вероятность, что сообщение будет принято. Ответ сократи (используя правила математического округления) до двух знаков после точки",[0.65]
"Три гимнаста стоят друг на друге. Вероятность падения нижнего составляет 0,08, второго – 0,5, третьего – 0,31. Найти вероятность того, что трюк не удастся. Ответ сократи (используя правила математического округления) до четырех знаков после точки",[0.6826]
"Найти объем тела, ограниченного поверхностями, полученными при вращении отрезков следующих линий: $ y =\sin x,~y=0~ (0\leq x \leq \pi) $ вокруг оси $ Ox.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[4.935]
Найти $ \displaystyle \lim_{x \rightarrow 0} (\sqrt{1+x+x^2}-1)/(3x).$ Ответ представь в виде несокращаемой простой дроби,[1/6]
Найти $ \displaystyle \lim_{x \rightarrow 1} (x^3-1)/\ln x.$Ответ сократи (используя правила математического округления) до трех знаков после точки,[3.000]
"Вычисли $ \displaystyle \int_{-3}^{1} 2x^2+3x-1 \, dx.$ Ответ представь в виде несокращаемой простой дроби",[8/3]
"В двух коробках находятся однотипные диоды. В первой – 20 шт., из них 2 неисправных; во второй – 10 шт., из них 4 неисправных. Наугад была выбрана коробка, а затем из нее наугад был выбран диод. Он оказался неисправным. Найти вероятность того, что он был взят из второй коробки. Ответ сократи (используя правила математического округления) до одного знака после точки",[0.8]
Вычислить собственные значения матрицы $ \begin{pmatrix} 1 & 0 & 3 \\ 2 & 1 & 2\\ 3 & 0 & 1 \end{pmatrix}.$,[4;1;-2]
Найти $ \displaystyle \lim_{n \rightarrow \infty} (\sqrt[3]{n^2+n})/(n+2)$Ответ сократи (используя правила математического округления) до трех знаков после точки,[0.000]
"Вычисли $ \displaystyle \int_{0}^{1} x^{2}(1 + 2x^{3})^{5} \, dx.$ Ответ представь в виде несокращаемой простой дроби",[182/9]
"На базе находятся лампы, изготовленные на двух заводах. Из них 70$\%$ изготовлено на первом заводе, а 30$\%$ – на втором. Известно, что 90$\%$ ламп, изготовленных на первом заводе, соответствуют стандарту, а среди ламп, изготовленных на втором заводе, соответствуют стандарту лишь 80$\%$. Найти вероятность, что взятая наугад лампа с базы будет соответствовать стандарту. Ответ сократи (используя правила математического округления) до двух знаков после точки",[0.87]
В арифметическом пространстве со стандартным скалярным произведением найти скалярное произведение $ \begin{pmatrix} 1 & 2 & 1&4 \end{pmatrix}^{T} $ и $ \begin{pmatrix} 1 & -1 & 1 & 0 \end{pmatrix}^{T}.$,[0]
"Для сигнализации об аварии установлены два независимо работающих сигнализатора. Вероятность того, что при аварии сигнализатор сработает, равна 0,95 для первого сигнализатора и 0,9 для второго. Найти вероятность то- го, что при аварии сработает только один сигнализатор. Ответ сократи (используя правила математического округления) до двух знаков после точки",[0.14]
"Для каждого из трех друзей вероятности провала экзамена равны соответственно 0,01; 0,03; 0,1. Найти вероятность того, что только двое из них сдадут экзамен. Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.131]
"Вычисли $ \displaystyle \int_{0}^{1} x(5-x) \, dx.$ Ответ представь в виде несокращаемой простой дроби",[13/6]
Найти $ \displaystyle \lim_{x \rightarrow 0} ((1+x)^x-1)/x^2.$ Ответ сократи (используя правила математического округления) до трех знаков после точки,[1.000]
"Найти расстояние от точки $ A(1, -2) $ до прямой, заданной уравнением $ 2x-3y+5=0.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[3.606]
Найти $ \displaystyle \lim_{x \rightarrow 0} (\ln(1+x)-x)/x^2.$ Ответ представь в виде несокращаемой простой дроби,[-1/2]
"Среднее время работы каждого из 3 независимых элементов, входящих в техническое устройство равно 750ч. Для безотказной работы устройства необходима безотказная работа хотя бы одного из трех этих элементов. Определить вероятность того, что устройство будет работать от 450 до 600ч, если время работы каждого из трех элементов независимо и распределено по показа- тельному закону. Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.075]
"Вычисли $ \displaystyle \int_{1}^{5} 7/x \, dx.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[11.266]
Найти $ \displaystyle \lim_{x \rightarrow 0} (\sqrt{1+2\operatorname{tg}x} -e^x +x^2)/(\operatorname{arcsin}x -\sin x).$Ответ сократи (используя правила математического округления) до трех знаков после точки,[2.000]
"Найти объем тела, ограниченного поверхностями, полученными при вращении отрезков следующих линий: $ y =2x-x^2,~y=0 $ вокруг оси $ Oy.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[8.378]
Найти $ \displaystyle \lim_{n \rightarrow \infty} \sqrt[n]{(2n^3+1)/(3n^3-2)}.$Ответ сократи (используя правила математического округления) до трех знаков после точки,[1.000]
"Вычисли $ \displaystyle \int_{0}^{2} (x - 1)^{25} \, dx.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.000]
"В партии лампочек в среднем 4 брака. Найти вероятность, что среди наугад выбранных двух лампочек окажется хотя бы одна неисправная. Ответ сократи (используя правила математического округления) до четырех знаков после точки",[0.0784]
Бросаются две монеты. Случайная величина $ Х $ – число выпавших гербов. Найти математическое ожидание $ M[X].$ Ответ сократи (используя правила математического округления) до трех знаков после точки,[1.000]
Вычислить собственные значения матрицы $ \begin{pmatrix} -4 & 0 \\ 1 & 4 \end{pmatrix}.$,[4;-4]
Найти $ \displaystyle \lim_{x \rightarrow 1} (x^2+4x-5)/(x^2-1).$Ответ сократи (используя правила математического округления) до трех знаков после точки,[3.000]
"Два друга договорились о встрече между 16 и 17 часами дня. При- шедший первым ждет второго в течение 20 мин, а после уходит. Определить вероятность, что друзья встретятся. Ответ сократи (используя правила математического округления) до двух знаков после точки",[0.56]
"Устройство состоит из 1000 элементов, работающих независимо один от другого. Вероятность отказа любого элемента в течение времени T равна 0,002. Найти вероятность того, что за время T откажут ровно 3 элемента. Ответ сократи (используя правила математического округления) до двух знаков после точки",[0.18]
Решить уравнение в комплексной плоскости: $ z^2 + 2|z| = 1. Ответ сократи (используя правила математического округления) до трех знаков после точки$,[-i;-0.414;0.414;i]
Найти $ \displaystyle \lim_{x \rightarrow 0} (\operatorname{tg}x-\sin x)/x^3.$ Ответ представь в виде несокращаемой простой дроби,[1/2]
"Четыре шарика разбрасывают по 4 лункам. Шарик попадает в ту или иную лунку с одинаковой вероятностью, независимо друг от друга. Определить вероятность, что в каждой лунке окажется по одному шарику. Ответ представь в виде несокращаемой простой дроби",[3/32]
Вычислить собственные значения матрицы $ \begin{pmatrix} 25 & 60 \\ 60 & 144 \end{pmatrix}.$,[0;169]
"В прямоугольник 5×4 $\text{см}^2$ вписан круг радиусом 1,5 см. Какова вероятность того, что точка, случайным образом поставленная в прямоугольник, окажется внутри круга? Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.353]
"Найти векторное произведение векторов $ \textbf{a} $ и $ \textbf{b}$, заданных своими координатами: $ \textbf{a}(2,-1,1),~ \textbf{b}(-4,2,-2).$",[0;0;0]
"Найти расстояние между точками $ A $ и $ B$, заданными своими координатами: $ A(-1,2),~ B(5,10).$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[10.000]
"Вычислить $ f(A), $ если $ f(t)=t^2-2t+1,~ A = \begin{pmatrix} 1 & 1 \\ 1 & 1 \end{pmatrix}.$ \\Ответ в формате $ a_{11}; a_{12}; \dots; a_{1n}; a_{21}; a_{22}; \dots; a_{mn}.$",[1;0;0;1]
"Найти объем тела, ограниченного поверхностями, полученными при вращении отрезков следующих линий: $ y =2x-x^2,~y=0 $ вокруг оси $ Ox.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[3.351]
"Вычисли $ \displaystyle \int_{1}^{2} \frac{\ln x}{x^2} \, dx.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.153]
Найти матрицу $ X $ из уравнения $ \begin{pmatrix} 2 & 5 \\ 1 & 3 \end{pmatrix}X = \begin{pmatrix} 2 & 1 \\ 1 & 1 \end{pmatrix}.$ \\Ответ в формате $ a_{11}; a_{12}; \dots; a_{1n}; a_{21}; a_{22}; \dots; a_{mn}.$,[1;-2;0;1]
Необходимо выбрать в подарок 4 из 10 имеющихся различных книг. Сколькими способами можно это сделать?,[210]
Найти $ \displaystyle \lim_{n \rightarrow \infty} \sqrt[n]{3^n-2^n}.$Ответ сократи (используя правила математического округления) до трех знаков после точки,[3.000]
"Врач ставит верный диагноз с вероятностью 85$\%$. Найти вероятность того, что из 6 диагнозов верный будет поставлен большей части пациентов. Ответ сократи (используя правила математического округления) до четырех знаков после точки",[0.9527]
"Вычисли $ \displaystyle \int_{0}^{\sqrt{\pi}} x \cos(x^{2}) \, dx.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[0.000]
"На прямой $ 5x -y -4 = 0 $ найти точку, равноудаленную от точек $ A(1,0) $ и $ B(-2,1). $ В ответе указать координаты $ x_0, y_0, $ полученной точки.",[(3 | 11)]
Найти $ \displaystyle \lim_{x \rightarrow \infty} ((3x-4/(3x+2))^{(x+1)/3} .$ Ответ сократи (используя правила математического округления) до трех знаков после точки,[0.513]
"Найти объем тела, ограниченного поверхностями, полученными при вращении отрезков следующих линий: $ y =e^{-x},~y=0~ (0\leq x < +\infty) $ вокруг оси $ Oy.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",[6.283]
Найти вероятность отгадать пин-код телефона с первого раза если нем используются 4 строго возрастающие цифры. Ответ сократи (используя правила математического округления) до трех знаков после точки,[0.005]
"Найти векторное произведение векторов $ \textbf{a} $ и $ \textbf{b}$, заданных своими координатами: $ \textbf{a}(3,-1,2),~ \textbf{b}(2,-3,-5).$",[11;19;-7]
